epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.175,1.33013,1.90202,1.27018,0.00545,0.69744,0.00606,0.00293,1.71905,inf,3.49812,0.000652778,0.000652778,0.000652778
2,247.045,1.33302,1.38769,1.26932,0.26786,0.15385,0.09183,0.03752,nan,nan,nan,0.00130856,0.00130856,0.00130856
3,390.864,1.37874,1.28054,1.29653,0.02015,0.10256,0.00455,0.00137,3.81037,69.7819,6.82978,0.00195334,0.00195334,0.00195334
4,537.103,1.31361,1.18578,1.23386,0.17186,0.54872,0.18016,0.08427,1.78214,15.5185,2.10301,0.0019505,0.0019505,0.0019505
5,616.612,1.22079,1.06235,1.21951,0.21501,0.57949,0.24247,0.12498,1.53512,12.0916,1.53288,0.001934,0.001934,0.001934
6,702.029,1.16212,1.03626,1.17383,0.76716,0.70256,0.80961,0.51514,1.2909,2.57626,1.27716,0.0019175,0.0019175,0.0019175
7,781.008,1.15076,0.92771,1.16885,0.90307,0.80513,0.91356,0.63741,1.06506,1.64988,1.11917,0.001901,0.001901,0.001901
8,866.402,1.08724,0.88206,1.12402,0.68387,0.6767,0.72408,0.49892,1.09438,2.46163,1.16749,0.0018845,0.0018845,0.0018845
9,1015.39,1.08756,0.86911,1.10894,0.90945,0.85128,0.93867,0.67527,1.03789,0.91517,1.11858,0.001868,0.001868,0.001868
10,1077.43,1.09959,0.90225,1.12402,0.59249,0.77436,0.69231,0.49816,1.05808,1.75495,1.14856,0.0018515,0.0018515,0.0018515
11,1155.34,1.05494,0.83729,1.11454,0.77215,0.79944,0.8424,0.62352,1.03586,0.99209,1.11864,0.001835,0.001835,0.001835
12,1226.67,1.07782,0.83346,1.12126,0.86223,0.80513,0.86983,0.65286,0.99068,0.89586,1.08916,0.0018185,0.0018185,0.0018185
13,1287.1,1.01333,0.77848,1.08018,0.85463,0.93333,0.95314,0.7099,0.94349,0.81256,1.05603,0.001802,0.001802,0.001802
14,1419.62,0.97792,0.73358,1.06209,0.9227,0.85698,0.94675,0.69656,1.00979,0.71268,1.0696,0.0017855,0.0017855,0.0017855
15,1513.45,1.00849,0.74295,1.07706,0.92501,0.91795,0.96423,0.72832,0.92053,0.65414,1.02536,0.001769,0.001769,0.001769
16,1574.61,0.98193,0.73091,1.06188,0.91987,0.88308,0.94185,0.71687,0.93697,0.82901,1.0486,0.0017525,0.0017525,0.0017525
17,1643.22,0.97154,0.70592,1.07403,0.92003,0.91282,0.96562,0.75411,0.8882,0.57814,1.0226,0.001736,0.001736,0.001736
18,1713.12,0.98421,0.72666,1.06747,0.94114,0.90194,0.96994,0.76656,0.86426,0.57908,0.99796,0.0017195,0.0017195,0.0017195
19,1772.04,0.9237,0.69063,1.03094,0.94165,0.91036,0.96846,0.78347,0.80625,0.58974,0.98523,0.001703,0.001703,0.001703
20,1834.41,0.92603,0.67996,1.02467,0.9665,0.87692,0.97443,0.74896,0.88719,0.59823,0.99842,0.0016865,0.0016865,0.0016865
21,1910.11,0.95762,0.67577,1.05946,0.91207,0.90427,0.96956,0.77277,0.84995,0.58832,0.99464,0.00167,0.00167,0.00167
22,1971.61,0.94084,0.68614,1.04159,0.90518,0.88122,0.94595,0.73454,0.90391,0.77026,1.04116,0.0016535,0.0016535,0.0016535
23,2028.22,0.88767,0.62803,1.02437,0.94743,0.92424,0.96416,0.7676,0.84252,0.56568,0.99875,0.001637,0.001637,0.001637
24,2090.22,0.87647,0.61972,1.01782,0.95244,0.89744,0.95445,0.72941,0.92473,0.64442,1.03692,0.0016205,0.0016205,0.0016205
25,2145.9,0.89501,0.6406,1.04631,0.95732,0.89231,0.94618,0.73718,0.84732,0.61617,0.99431,0.001604,0.001604,0.001604
26,2276.42,0.92651,0.66006,1.04429,0.91569,0.89744,0.95797,0.75495,0.88608,0.61184,1.0228,0.0015875,0.0015875,0.0015875
27,2505.12,0.93779,0.66725,1.05387,0.95967,0.89744,0.96845,0.76504,0.81674,0.56032,0.98351,0.001571,0.001571,0.001571
28,2596.12,0.86869,0.61246,1.02032,0.95298,0.93553,0.982,0.77722,0.8367,0.52893,0.9743,0.0015545,0.0015545,0.0015545
29,2695.35,0.87948,0.61163,1.02146,0.97449,0.87692,0.94632,0.73839,0.86771,0.69493,0.99548,0.001538,0.001538,0.001538
30,2769.8,0.89568,0.63099,1.02462,0.95444,0.96685,0.98933,0.78252,0.81752,0.54282,0.96758,0.0015215,0.0015215,0.0015215
31,2847,0.8755,0.62601,1.02732,0.92548,0.95529,0.9829,0.78535,0.82171,0.53246,0.98193,0.001505,0.001505,0.001505
32,2926.1,0.91128,0.61407,1.02298,0.93875,0.94311,0.96921,0.77687,0.80121,0.53611,0.95548,0.0014885,0.0014885,0.0014885
